source,target,connection_type,justification,weight
5bryfrnYaxlofC6MAG6vde,6Z5ryvEQNRdk9YQ7GbI4Wh,mood_affinity,valence=0.18 energy=0.24 mood=-0.06,-0.057
5bryfrnYaxlofC6MAG6vde,6kUQ5GQPEtoZ8tOC7GBbkk,mood_affinity,valence=0.18 energy=0.24 mood=-0.06,-0.057
5bryfrnYaxlofC6MAG6vde,6lDuFNpJKZvbR4fqEVtH66,mood_affinity,valence=0.18 energy=0.24 mood=-0.06,-0.057
5bryfrnYaxlofC6MAG6vde,5mKcwkUfjG9PaQ4KywZxVx,mood_affinity,valence=0.18 energy=0.24 mood=-0.06,-0.057
5bryfrnYaxlofC6MAG6vde,77HH11SsE6IPsDb0RQ6W1T,mood_affinity,valence=0.18 energy=0.24 mood=-0.06,-0.057
5bryfrnYaxlofC6MAG6vde,2UkHuOfxBPLliEKCVep30k,mood_affinity,valence=0.18 energy=0.24 mood=-0.06,-0.057
5bryfrnYaxlofC6MAG6vde,43myJvsPC9hA4Zu8k4cAPI,mood_affinity,valence=0.18 energy=0.24 mood=-0.06,-0.057
5bryfrnYaxlofC6MAG6vde,4uC6QxhtsmHijo8DcCsYJe,mood_affinity,valence=0.18 energy=0.24 mood=-0.06,-0.057
5bryfrnYaxlofC6MAG6vde,0WOFJR54wyTwLB11jcBDb1,mood_affinity,valence=0.18 energy=0.24 mood=-0.06,-0.057
5bryfrnYaxlofC6MAG6vde,1y6DJDkhlYz6X35HV7BgsK,mood_affinity,valence=0.18 energy=0.24 mood=-0.06,-0.057
5bryfrnYaxlofC6MAG6vde,57CIHoD2aM7QHNjQpBPTio,mood_affinity,valence=0.18 energy=0.24 mood=-0.06,-0.057
5bryfrnYaxlofC6MAG6vde,7xn7mJpuwRSdePLyBVGjcU,mood_affinity,valence=0.18 energy=0.24 mood=-0.06,-0.057
5bryfrnYaxlofC6MAG6vde,30BsewEJZPxfuLNAlZPFje,mood_affinity,valence=0.18 energy=0.24 mood=-0.06,-0.057
5bryfrnYaxlofC6MAG6vde,2Yrsev5D6RwqvPltgOmUcH,mood_affinity,valence=0.18 energy=0.24 mood=-0.06,-0.057
5bryfrnYaxlofC6MAG6vde,0urAdcTNGNqUwFsiIEMA9C,mood_affinity,valence=0.18 energy=0.24 mood=-0.06,-0.057
5bryfrnYaxlofC6MAG6vde,23zxuxHVaTHqcJ2fwmn1IZ,mood_affinity,valence=0.18 energy=0.24 mood=-0.06,-0.057
5bryfrnYaxlofC6MAG6vde,6O8BTaPTVtqR4OxtQeoCgp,mood_affinity,valence=0.18 energy=0.24 mood=-0.06,-0.057
5bryfrnYaxlofC6MAG6vde,5mrGm8drsrpQsmfD9Pzuvh,mood_affinity,valence=0.18 energy=0.24 mood=-0.06,-0.057
5bryfrnYaxlofC6MAG6vde,2id9lzEoSBjJYxmX0YJto4,mood_affinity,valence=0.18 energy=0.24 mood=-0.06,-0.057
5bryfrnYaxlofC6MAG6vde,6m37YblnnlJ1x7DfTc3Vj0,mood_affinity,valence=0.18 energy=0.24 mood=-0.06,-0.057
5bryfrnYaxlofC6MAG6vde,4dRb7kdtBVBFzSiCqsY7wP,mood_affinity,valence=0.18 energy=0.24 mood=-0.06,-0.057
5bryfrnYaxlofC6MAG6vde,3H4jzLMUrdL07Bmi0HLP8t,mood_affinity,valence=0.18 energy=0.24 mood=-0.06,-0.057
5bryfrnYaxlofC6MAG6vde,1JA3cUKq0xuTrBPJI3VgmA,mood_affinity,valence=0.18 energy=0.24 mood=-0.06,-0.057
5bryfrnYaxlofC6MAG6vde,5TcuM4sQFHK747kwB2q1Qy,mood_affinity,valence=0.18 energy=0.24 mood=-0.06,-0.057
5bryfrnYaxlofC6MAG6vde,0UK0hZ7lhXDkZdgwS9KUIj,mood_affinity,valence=0.18 energy=0.24 mood=-0.06,-0.057
6BF6YD1990nsZr8DVZL9j1,45SW4gTA0jvwLWfL3lLKy2,mood_affinity,valence=0.82 energy=0.86 mood=-0.04,-0.04
6BF6YD1990nsZr8DVZL9j1,07FrAYhbINYe2oLnpLAtjm,mood_affinity,valence=0.82 energy=0.86 mood=-0.04,-0.04
6BF6YD1990nsZr8DVZL9j1,5emRxq4oACZeHNuUhw09XV,mood_affinity,valence=0.82 energy=0.86 mood=-0.04,-0.04
6BF6YD1990nsZr8DVZL9j1,6MoYUUZCiaFHJTtJxn8Uxp,mood_affinity,valence=0.82 energy=0.86 mood=-0.04,-0.04
6BF6YD1990nsZr8DVZL9j1,5b4ja1psqZ59QnyrdwudFW,mood_affinity,valence=0.82 energy=0.86 mood=-0.04,-0.04
6BF6YD1990nsZr8DVZL9j1,1wWwIwO2GdnDfvUywsAJhl,mood_affinity,valence=0.82 energy=0.86 mood=-0.04,-0.04
6BF6YD1990nsZr8DVZL9j1,4jUhj4BXvyx97aURiYk59g,mood_affinity,valence=0.82 energy=0.86 mood=-0.04,-0.04
6BF6YD1990nsZr8DVZL9j1,1lYnLyAvbQqxD4OyTpITMR,mood_affinity,valence=0.82 energy=0.86 mood=-0.04,-0.04
6BF6YD1990nsZr8DVZL9j1,26HTczHXyN2wkeM6ajQcRt,mood_affinity,valence=0.82 energy=0.86 mood=-0.04,-0.04
6BF6YD1990nsZr8DVZL9j1,2nph8SCHm3iOzchcOFlUWI,mood_affinity,valence=0.82 energy=0.86 mood=-0.04,-0.04
6BF6YD1990nsZr8DVZL9j1,5EL8He4J2hrTWl9rxbE3DY,mood_affinity,valence=0.82 energy=0.86 mood=-0.04,-0.04
6BF6YD1990nsZr8DVZL9j1,4BxzNZpcm1j3JczZzGNe2k,mood_affinity,valence=0.82 energy=0.86 mood=-0.04,-0.04
6BF6YD1990nsZr8DVZL9j1,7F9iD9cZBEQMZgeD9EuO4Z,mood_affinity,valence=0.82 energy=0.86 mood=-0.04,-0.04
6BF6YD1990nsZr8DVZL9j1,6JbudXQviaEQFER6pbwMfH,mood_affinity,valence=0.82 energy=0.86 mood=-0.04,-0.04
6BF6YD1990nsZr8DVZL9j1,44hEYBddwf9u0t14i9BHia,mood_affinity,valence=0.82 energy=0.86 mood=-0.04,-0.04
6BF6YD1990nsZr8DVZL9j1,4wrqtbZb8NsVwkKrsEDEBG,mood_affinity,valence=0.82 energy=0.86 mood=-0.04,-0.04
6BF6YD1990nsZr8DVZL9j1,0iNSKEG6Te4S9ofncwUsrI,mood_affinity,valence=0.82 energy=0.86 mood=-0.04,-0.04
6BF6YD1990nsZr8DVZL9j1,4ZuJKSF9NsbxV42I7E1iK6,mood_affinity,valence=0.82 energy=0.86 mood=-0.04,-0.04
6BF6YD1990nsZr8DVZL9j1,7Fe2hIvOFf1kwAIRavM66g,mood_affinity,valence=0.82 energy=0.86 mood=-0.04,-0.04
6BF6YD1990nsZr8DVZL9j1,2cs4ppEftLQDyxbtjPAYyG,mood_affinity,valence=0.82 energy=0.86 mood=-0.04,-0.04
6BF6YD1990nsZr8DVZL9j1,7rN3zSvSTVeXYyAqOHrLmM,mood_affinity,valence=0.82 energy=0.86 mood=-0.04,-0.04
6BF6YD1990nsZr8DVZL9j1,6r1BGYEUf8JokpctyQJJFU,mood_affinity,valence=0.82 energy=0.86 mood=-0.04,-0.04
6BF6YD1990nsZr8DVZL9j1,4otjxyVALgzos9DnHMMg0c,mood_affinity,valence=0.82 energy=0.86 mood=-0.04,-0.04
6BF6YD1990nsZr8DVZL9j1,2o6d0rAC9BAyPmgXnbXx1h,mood_affinity,valence=0.82 energy=0.86 mood=-0.04,-0.04
6BF6YD1990nsZr8DVZL9j1,6twvFrIoIINH8UW8EB8OnU,mood_affinity,valence=0.82 energy=0.86 mood=-0.04,-0.04
6BF6YD1990nsZr8DVZL9j1,5burXYqqO8z0GEnltThZKw,mood_affinity,valence=0.82 energy=0.86 mood=-0.04,-0.04
6BF6YD1990nsZr8DVZL9j1,1ZEOIhSn6BKErV59bIgn76,mood_affinity,valence=0.82 energy=0.86 mood=-0.04,-0.04
6BF6YD1990nsZr8DVZL9j1,7iWku14DAw9BS3mftbVEeK,mood_affinity,valence=0.82 energy=0.86 mood=-0.04,-0.04
6BF6YD1990nsZr8DVZL9j1,4Kcc3eZVMFUaNG6rWxoazW,mood_affinity,valence=0.82 energy=0.86 mood=-0.04,-0.04
6BF6YD1990nsZr8DVZL9j1,0RooO0IFEwZ1Rg9ZK9OFDL,mood_affinity,valence=0.82 energy=0.86 mood=-0.04,-0.04
6BF6YD1990nsZr8DVZL9j1,7lVCNk7lDX6zZUShe7cFfI,mood_affinity,valence=0.82 energy=0.86 mood=-0.04,-0.04
